BLOCKS,,,,,,,,,,,,
Line,Sect,ID,Length,Grade,SpeedLim,Ugr,Sw,Rev,Fwd,TravDir,Xing,Station
Yard,Y,0,0,0,0,,,0,1001,fwd,,Yard
Red,A,1,50,0.5,40,,y,1000,2,both,,
Red,A,2,50,1,40,,,1,3,both,,
Red,A,3,50,1.5,40,,,2,4,both,,
Red,B,4,50,2,40,,,3,5,both,,
Red,B,5,50,1.5,40,,,4,6,both,,
Red,B,6,50,1,40,,,5,7,both,,
Red,C,7,75,0.5,40,,,6,8,both,,Shadyside
Red,C,8,75,0,40,,,7,9,both,,
Red,C,9,75,0,40,,y,8,1001,both,,
Red,D,10,75,0,40,,,1001,11,both,,
Red,D,11,75,-0.5,40,,,10,12,both,,
Red,D,12,75,-0.5,40,,,11,13,both,,
Red,E,13,68.4,-1,40,,,12,14,both,,
Red,E,14,60,-1,40,,,13,15,both,,
Red,E,15,60,-1,40,,y,14,1000,both,,
Red,F,16,50,-0.5,40,,,1000,17,both,,Herron Ave.
Red,F,17,200,-0.5,55,,,16,18,both,,
Red,F,18,400,-0.06025,70,,,17,19,both,,
Red,F,19,400,0,70,,,18,20,both,,
Red,F,20,200,0,70,,,19,21,both,,
Red,G,21,100,0,55,,,20,22,both,,Swissville
Red,G,22,100,0,55,,,21,23,both,,
Red,G,23,100,0,55,,,22,24,both,,
Red,H,24,50,0,70,y,,23,25,both,,
Red,H,25,50,0,70,y,,24,26,both,,Penn Station
Red,H,26,50,0,70,y,,25,27,both,,
Red,H,27,50,0,70,y,y,26,1002,both,,
Red,H,28,50,0,70,y,,1002,29,both,,
Red,H,29,60,0,70,y,,28,30,both,,
Red,H,30,60,0,70,y,,29,31,both,,
Red,H,31,50,0,70,y,,30,32,both,,
Red,H,32,50,0,70,y,y,31,1003,both,,
Red,H,33,50,0,70,y,,1003,34,both,,
Red,H,34,50,0,70,y,,33,35,both,,
Red,H,35,50,0,70,y,,34,36,both,,Steel Plaza
Red,H,36,50,0,70,y,,35,37,both,,
Red,H,37,50,0,70,y,,36,38,both,,
Red,H,38,50,0,70,y,y,37,1004,both,,
Red,H,39,50,0,70,y,,1004,40,both,,
Red,H,40,60,0,70,y,,39,41,both,,
Red,H,41,60,0,70,y,,40,42,both,,
Red,H,42,50,0,70,y,,41,43,both,,
Red,H,43,50,0,70,y,y,42,1005,both,,
Red,H,44,50,0,70,y,,1005,45,both,,
Red,H,45,50,0,70,y,,44,46,both,,First Ave.
Red,I,46,75,0,70,y,,45,47,both,,
Red,I,47,75,0,70,,,46,48,both,y,
Red,I,48,75,0,70,,,47,49,both,,Station Square
Red,J,49,50,0,60,,,48,50,both,,
Red,J,50,50,0,60,,,49,51,both,,
Red,J,51,50,0,55,,,50,52,both,,
Red,J,52,43.2,0,55,,y,51,1006,both,,
Red,J,53,50,0,55,,,1006,54,both,,
Red,J,54,50,0,55,,,53,55,both,,
Red,K,55,75,0.5,55,,,54,56,both,,
Red,K,56,75,0.5,55,,,55,57,both,,
Red,K,57,75,0.5,55,,,56,58,both,,
Red,L,58,75,1,55,,,57,59,both,,
Red,L,59,75,0.5,55,,,58,60,both,,
Red,L,60,75,0,55,,,59,61,both,,South Hills Jn.
Red,M,61,75,-0.5,55,,,60,62,both,,
Red,M,62,75,-1,55,,,61,63,both,,
Red,M,63,75,-1,55,,,62,64,both,,
Red,N,64,75,-0.5,55,,,63,65,both,,
Red,N,65,75,0,55,,,64,66,both,,
Red,N,66,75,0,55,,,65,1006,both,,
Red,O,67,50,0,55,y,,1005,68,both,,
Red,P,68,50,0,55,y,,67,69,both,,
Red,P,69,50,0,55,y,,68,70,both,,
Red,P,70,50,0,55,y,,69,71,both,,
Red,Q,71,50,0,55,y,,70,1004,both,,
Red,R,72,50,0,55,y,,1003,73,both,,
Red,S,73,50,0,55,y,,72,74,both,,
Red,S,74,50,0,55,y,,73,75,both,,
Red,S,75,50,0,55,y,,74,76,both,,
Red,T,76,50,0,55,y,,75,1002,both,,
SWITCHES,,,,,,,,,,,,
Line,Sect,SwID,,,,,Main,Straight,Div,,,
Red,FEA,1000,,,,,16,15,1,,,
Red,CDY,1001,,,,,9,10,0,,,
Red,HHT,1002,,,,,27,28,76,,,
Red,HHR,1003,,,,,32,33,72,,,
Red,HHQ,1004,,,,,38,39,71,,,
Red,HHO,1005,,,,,43,44,67,,,
Red,JJN,1006,,,,,52,53,66,,,
